zebra248

143.7,88.9,95.2,55.5,64.1,367.5,78.6,352.9,87.9,311.8,206.5,-22.1,93.8,89.6,79.5
77.7,120.8,86.7,229.6,62.8,246.1,79.3,459.5,55.2,228.9,222.2,-21.1,92.6,121.3,38.8
87,128.2,78.3,406.4,79.4,191.4,79.8,35.3,47.3,524.2,230.1,-62.8,95,103.6,46.3
63.2,154.1,88.2,52.7,55.3,317.9,73.4,114.3,65.2,242.6,190.7,-23.2,111.3,93.1,78.6
62.5,113.3,94.9,50.9,65.6,412.2,94.6,40.8,88,335.1,205.6,-44.8,102.8,152.1,70.6
127,651.6,69.8,54.8,75.7,346.3,86.1,66.5,94.3,427.1,198.1,-22,86.2,31.1,81.3
62.8,108.2,78.9,64.8,56.6,306.9,103.3,53.9,79.1,291.8,207.7,-0.7,79.4,146.2,80.6
79.6,114.1,79,71.1,69.3,845.6,57.9,91,93.3,226.2,222.6,-39.1,94.9,142.8,70.6
56.4,150.7,63,83.7,51.5,197.8,94.9,214.3,94.7,414.6,215.7,30.2,89.4,243.2,70.6
88.3,129.6,79.1,372.2,63.3,149.2,63.2,181,71,251.3,252.7,-45.6,101.6,168.8,79.7
93.9,172.4,87.3,92.4,47.2,178.1,73,96,102.3,266.5,261.9,-28.8,101.9,118.5,81.9
95.3,781.1,111.5,-0.8,31.5,224.9,87.8,87.3,103.7,229.3,241.4,-1.2,85.6,74.5,72.4
80.8,172.6,71.6,76.8,47.1,270,79.2,564.6,55.7,473.1,223,-0.6,63.5,481.5,71.9
54.9,126.4,88.4,-0.9,70,168.7,79.6,93.3,95.5,254.5,200.1,-55.5,118,138.7,79.6
62.3,169.3,71,1602.9,78.7,130.5,103.5,105.5,103.5,179.8,213.6,-69.2,117,45.2,79.2
86.4,153.9,79,92.7,63.8,168.7,94.9,76,111.7,216.8,239.3,-1.1,64.8,121.4,85.9
64.4,127.8,86.5,57.2,63,157.2,85.7,122.2,86.9,1451.1,158.9,495.3,87.7,-0.8,55
86.9,177.7,94.8,113.4,70.1,171.6,95.6,75.5,96.3,177.3,254.6,-54.4,102,96.8,86.8
89.1,121.8,94.5,46.5,70.6,159.3,87.2,64.9,102.6,168.3,175.6,196.8,119.5,33.5,64.2
95.1,121.3,94.9,36.9,86.3,158.4,105,93.4,107.3,182.8,150.8,476.3,80.4,-1.1,55.3
80.6,197.8,103,68.9,62.5,470.5,94.8,58,86.8,249.7,230.6,-38.4,109.7,356.5,81.9
87,271.7,103.1,47.6,86.9,188.6,103.1,107,110.4,185.5,229.9,-38.1,118.5,112.4,63.1
79.8,170.2,87.9,72.7,47.8,203.7,78.9,93.1,95.2,252.5,265.8,-0.8,92.3,79.8,63.8
94.5,127.7,102.8,61.6,70.9,165.4,94.7,73.1,102.9,445.4,254.7,-62.2,109.2,17.8,86.4
94.4,173.3,71,91.3,111.6,139.2,93.9,30.8,118.4,177.7,222,35,119.4,131,95.1
